model,MAE,RMSE,MAPE,n_folds,n_obs
Ensemble,3.2428781249625893,3.999640338265535,6.185363343154623,33,198
SARIMAX,3.520428625164135,4.296769354470336,6.709926452751894,33,198
ETS,3.545922476031639,4.248766902895807,6.760412325695942,33,198
Prophet,4.702269308123669,5.895015009052365,9.017413794636266,33,198
