model,MAE,RMSE,MAPE,n_folds,n_obs
Ensemble,3.242912687501589,3.9995989723792476,6.185422108119986,33,198
SARIMAX,3.5202729537535333,4.2967018302937126,6.709619964143125,33,198
ETS,3.5459314488779263,4.2487411982141605,6.760430369399212,33,198
Prophet,4.702269176057998,5.895014868176716,9.017413550993277,33,198
